english	简体中文	pinyin
abundance	丰度	fēng dù
acid	酸	suān
acid rain	酸雨	suān yǔ
acidic	酸性	suān xìng
acids	酸	suān
activation energy	活化能	huó huà néng
addition polymerisation	加聚	jiā jù
addition reactions	加成反应	jiā chéng fǎn yìng
alcohols	醇	chún
alkali	可溶性碱	kě róng xìng jiǎn
alkali metals	碱金属	jiǎn jīn shǔ
alkaline	碱性	jiǎn xìng
alkanes	烷烃	wán tīng
alkenes	烯烃	xī tīng
alloy	合金	hé jīn
alternating	交替	jiāo tì
aluminium	铝	lǚ
amino acid	氨基酸	ān jī suān
ammonia	氨气	ān qì
ammonium	铵	ǎn
ammonium chloride	氯化铵	lǜ huà ǎn
ammonium salts	铵盐	ǎn yán
amount of substance	物质的量	wù zhì dì liàng
amphoteric	两性	liǎng xìng
anhydrous	无水	wú shuǐ
anion	阴离子	yīn lí zi
anode	阳极	yáng jí
aquatic life	水生生物	shuǐ shēng shēng wù
aqueous	水溶液	shuǐ róng yè
arrangement	排列	pái liè
atom	原子	yuán zi
atomic number	原子序数	yuán zi xù shù
atoms	原子	yuán zi
Avogadro constant	阿伏伽德罗常数	ā fú gā dé luó cháng shù
balance	天平	tiān píng
balanced	配平	pèi píng
barium	钡	bèi
barium nitrate	硝酸钡	xiāo suān bèi
barrier methods	隔离法	gé lí fǎ
base	碱	jiǎn
bases	碱	jiǎn
bauxite	铝土矿	lǚ tǔ kuàng
bitumen	沥青	lì qīng
blast furnace	高炉	gāo lú
boiling	沸腾	fèi téng
boiling point	沸点	fèi diǎn
bond breaking	断键	duàn jiàn
bond energy	键能	jiàn néng
bond making	成键	chéng jiàn
brass	黄铜	huáng tóng
brittle	易碎	yì suì
bromide	溴化物	xiù huà wù
bromine	溴	xiù
burette	滴定管	dī dìng guǎn
calcium	钙	gài
calcium oxide	氧化钙	yǎng huà gài
cancer	癌症	ái zhèng
carbon	碳	tàn
carbon dioxide	二氧化碳	èr yǎng huà tàn
carbon monoxide	一氧化碳	yī yǎng huà tàn
carbonate	碳酸盐	tàn suān yán
carbonates	碳酸盐	tàn suān yán
carboxylic acids	羧酸	suō suān
catalyst	催化剂	cuī huà jì
catalytic converters	催化转化器	cuī huà zhuǎn huà qì
cathode	阴极	yīn jí
cation	阳离子	yáng lí zi
chain length	链长	liàn zhǎng
charge	电荷	diàn hè
chemical change	化学变化	huà xué biàn huà
chloride	氯化物	lǜ huà wù
chlorides	氯化物	lǜ huà wù
chlorination	氯消毒	lǜ xiāo dú
chlorine	氯气	lǜ qì
chlorophyll	叶绿素	yè lǜ sù
chromatogram	色谱图	sè pǔ tú
chromium	铬	gè
climate change	气候变化	qì hòu biàn huà
closed system	密闭系统	mì bì xì tǒng
coal	煤	méi
collide	碰撞	pèng zhuàng
