english	简体中文	pinyin
cells	细胞	xì bāo
plant	植物	zhí wù
animal	动物	dòng wù
bacterium	细菌	xì jūn
division	分裂	fēn liè
cell membrane	细胞膜	xì bāo mó
cytoplasm	细胞质	xì bāo zhì
ribosomes	核糖体	hé táng tǐ
nucleus	细胞核	xì bāo hé
mitochondria	线粒体	xiàn lì tǐ
cell wall	细胞壁	xì bāo bì
chloroplasts	叶绿体	yè lǜ tǐ
vacuole	液泡	yè pào
genetic material	遗传物质	yí chuán wù zhì
proteins	蛋白质	dàn bái zhì
respiration	呼吸作用	hū xī zuò yòng
energy	能量	néng liàng
cellulose	纤维素	xiān wéi sù
chlorophyll	叶绿素	yè lǜ sù
photosynthesis	光合作用	guāng hé zuò yòng
cell sap	细胞液	xì bāo yè
prokaryote	原核生物	yuán hé shēng wù
plasmids	质粒	zhì lì
specialised cells	特化细胞	tè huà xì bāo
ciliated cells	纤毛细胞	xiān máo xì bāo
mucus	黏液	nián yè
trachea	气管	qì guǎn
bronchi	支气管	zhī qì guǎn
root hair cells	根毛细胞	gēn máo xì bāo
absorption	吸收	xī shōu
palisade mesophyll cells	栅栏叶肉细胞	zhà lán yè ròu xì bāo
neurones	神经元	shén jīng yuán
electrical impulses	电脉冲	diàn mài chōng
red blood cells	红细胞	hóng xì bāo
oxygen	氧气	yǎng qì
sperm	精子	jīng zi
egg cells	卵细胞	luǎn xì bāo
gametes	配子	pèi zi
organism	生物体	shēng wù tǐ
tissue	组织	zǔ zhī
muscle	肌肉	jī ròu
organ	器官	qì guān
organ system	器官系统	qì guān xì tǒng
digestive system	消化系统	xiāo huà xì tǒng
microscope	显微镜	xiǎn wēi jìng
magnification	放大倍数	fàng dà bèi shù
specimen	标本	biāo běn
micrometres	微米	wēi mǐ
