english	简体中文	pinyin
luminosity	光度	guāng dù
power	功率	gōng lǜ
energy	能量	néng liàng
radiant flux intensity	辐射通量密度	fú shè tōng liàng mì dù
inverse-square law	平方反比定律	píng fāng fǎn bǐ dìng lǜ
standard candle	标准烛光	biāo zhǔn zhú guāng
Cepheid variables	造父变星	zào fù biàn xīng
supernovae	超新星	chāo xīn xīng
parallax	视差	shì chà
blackbody	黑体	hēi tǐ
wavelength	波长	bō cháng
temperature	温度	wēn dù
Wien's displacement law	维恩位移定律	wéi ēn wèi yí dìng lǜ
Stefan–Boltzmann constant	斯特藩-玻尔兹曼常量	sī tè fān - bō ěr zī màn cháng liàng
Stefan–Boltzmann law	斯特藩-玻尔兹曼定律	sī tè fān - bō ěr zī màn dìng lǜ
spectral lines	谱线	pǔ xiàn
redshift	红移	hóng yí
recession	退行	tuì xíng
blueshifted	蓝移	lán yí
Hubble's law	哈勃定律	hā bó dìng lǜ
Hubble constant	哈勃常数	hā bó cháng shù
Big Bang	大爆炸	dà bào zhà
cosmic microwave background	宇宙微波背景	yǔ zhòu wēi bō bèi jǐng
