english	简体中文	pinyin
statistical	统计	tǒng jì
data	数据	shù jù
tally table	计数表	jì shù biǎo
two-way table	双向表	shuāng xiàng biǎo
mean	平均数	píng jūn shù
median	中位数	zhōng wèi shù
mode	众数	zhòng shù
range	极差	jí chà
frequency	频数	pín shuò
grouped data	分组数据	fēn zǔ shù jù
modal class	众数组	zhòng shù zǔ
quartile	四分位数	sì fēn wèi shù
interquartile range	四分位距	sì fēn wèi jù
bar chart	条形图	tiáo xíng tú
pie chart	饼图	bǐng tú
pictogram	象形图	xiàng xíng tú
stem-and-leaf diagram	茎叶图	jīng yè tú
frequency distribution	频数分布	pín shuò fēn bù
scatter diagram	散点图	sàn diǎn tú
correlation	相关性	xiāng guān xìng
positive correlation	正相关	zhèng xiāng guān
negative correlation	负相关	fù xiāng guān
zero correlation	零相关	líng xiāng guān
line of best fit	最佳拟合线	zuì jiā nǐ hé xiàn
cumulative frequency	累积频数	lěi jī pín shuò
percentile	百分位数	bǎi fēn wèi shù
histogram	直方图	zhí fāng tú
frequency density	频数密度	pín shuò mì dù
class width	组距	zǔ jù
