english	简体中文	pinyin
electrolysis	电解	diàn jiě
electrolyte	电解质	diàn jiě zhì
electrode	电极	diàn jí
cathode	阴极	yīn jí
anode	阳极	yáng jí
Faraday constant	法拉第常量	fǎ lā dì cháng liàng
Avogadro constant	阿伏伽德罗常量	ā fú gā dé luó cháng liàng
electrode potential	电极电势	diàn jí diàn shì
standard electrode potential	标准电极电势	biāo zhǔn diàn jí diàn shì
standard hydrogen electrode	标准氢电极	biāo zhǔn qīng diàn jí
standard cell potential	标准电池电势	biāo zhǔn diàn chí diàn shì
oxidising agent	氧化剂	yǎng huà jì
reducing agent	还原剂	huán yuán jì
half-equation	半反应方程式	bàn fǎn yìng fāng chéng shì
feasibility	可行性	kě xíng xìng
Nernst equation	能斯特方程	néng sī tè fāng chéng
