english	简体中文	pinyin
acceleration	加速度	jiā sù dù
acute angle	锐角	ruì jiǎo
adjacent	邻边	lín biān
algebra	代数	dài shù
algebraic fraction	分式	fēn shì
alternate angles	内错角	nèi cuò jiǎo
alternate segment theorem	弦切角定理	xián qiē jiǎo dìng lǐ
ambiguous case	两解情况	liǎng jiě qíng kuàng
angle of depression	俯角	fǔ jiǎo
angle of elevation	仰角	yǎng jiǎo
arc	弧	hú
arc length	弧长	hú zhǎng
area	面积	miàn jī
asymptote	渐近线	jiàn jìn xiàn
average speed	平均速度	píng jūn sù dù
axes	坐标轴	zuò biāo zhóu
axis	坐标轴	zuò biāo zhóu
axis of symmetry	对称轴	duì chèn zhóu
bar chart	条形图	tiáo xíng tú
base	底数	dǐ shù
bearing	方位角	fāng wèi jiǎo
bias	偏倚	piān yǐ
brackets	括号	kuò hào
capacity	容量	róng liàng
centre	圆心	yuán xīn
change the subject	公式变形	gōng shì biàn xíng
chord	弦	xián
circle	圆	yuán
circumference	圆周	yuán zhōu
class width	组距	zǔ jù
clockwise	顺时针	shùn shí zhēn
co-interior angles	同旁内角	tóng páng nèi jiǎo
coefficient	系数	xì shù
collinear	共线	gòng xiàn
column vector	列向量	liè xiàng liàng
combined events	组合事件	zǔ hé shì jiàn
common factor	公因数	gōng yīn shù
common multiple	公倍数	gōng bèi shù
compasses	圆规	yuán guī
complement	补集	bǔ jí
completing the square	配方法	pèi fāng fǎ
composite function	复合函数	fù hé hán shù
compound interest	复利	fù lì
compound shape	组合图形	zǔ hé tú xíng
conditional probability	条件概率	tiáo jiàn gài lǜ
cone	圆锥	yuán zhuī
congruent	全等	quán děng
constant	常数	cháng shù
construct	作图	zuò tú
conversion graph	换算图	huàn suàn tú
coordinates	坐标	zuò biāo
coplanar	共面	gòng miàn
correlation	相关性	xiāng guān xìng
corresponding angles	同位角	tóng wèi jiǎo
cosine	余弦	yú xián
cosine rule	余弦定理	yú xián dìng lǐ
cross-section	横截面	héng jié miàn
cube	立方体	lì fāng tǐ
cube number	立方数	lì fāng shù
cube root	立方根	lì fāng gēn
cubic	三次	sān cì
cuboid	长方体	cháng fāng tǐ
cumulative frequency	累积频数	lěi jī pín shuò
curved surface area	侧面积	cè miàn jī
cyclic quadrilateral	圆内接四边形	yuán nèi jiē sì biān xíng
cylinder	圆柱	yuán zhù
data	数据	shù jù
decagon	十边形	shí biān xíng
deceleration	减速度	jiǎn sù dù
decimal	小数	xiǎo shù
decimal place	小数位	xiǎo shù wèi
denominator	分母	fēn mǔ
density	密度	mì dù
depreciation	折旧	zhé jiù
derivative	导数	dǎo shù
diameter	直径	zhí jìng
difference of two squares	平方差	píng fāng chà
differentiation	微分	wēi fēn
direct proportion	正比例	zhèng bǐ lì
directed line segment	有向线段	yǒu xiàng xiàn duàn
distance	距离	jù lí
domain	定义域	dìng yì yù
edge	棱	léng
element	元素	yuán sù
empty set	空集	kōng jí
enlargement	放大	fàng dà
equation	方程	fāng chéng
equilateral	等边	děng biān
estimate	估算	gū suàn
event	事件	shì jiàn
exchange rate	汇率	huì lǜ
expand	展开	zhǎn kāi
expected frequency	期望频数	qī wàng pín shuò
exponential decay	指数衰减	zhǐ shù shuāi jiǎn
exponential growth	指数增长	zhǐ shù zēng zhǎng
exponential sequence	指数数列	zhǐ shù shù liè
expression	表达式	biǎo dá shì
exterior angle	外角	wài jiǎo
face	面	miàn
factor	因数	yīn shù
factorise	因式分解	yīn shì fēn jiě
fair	公平	gōng píng
fraction	分数	fēn shù
fractional equation	分式方程	fēn shì fāng chéng
frequency	频数	pín shuò
frequency density	频数密度	pín shuò mì dù
frequency distribution	频数分布	pín shuò fēn bù
frustum	平截头体	píng jié tóu tǐ
function	函数	hán shù
gradient	斜率	xié lǜ
grouped data	分组数据	fēn zǔ shù jù
height	高	gāo
hemisphere	半球	bàn qiú
hexagon	六边形	liù biān xíng
highest common factor	最大公因数	zuì dà gōng yīn shù
histogram	直方图	zhí fāng tú
horizontal	水平	shuǐ píng
hypotenuse	斜边	xié biān
improper fraction	假分数	jiǎ fēn shù
independent events	独立事件	dú lì shì jiàn
index	指数	zhǐ shù
indices	指数	zhǐ shù
inequality	不等式	bù děng shì
integer	整数	zhěng shù
intercept	截距	jié jù
interest	利息	lì xī
interior angle	内角	nèi jiǎo
interquartile range	四分位距	sì fēn wèi jù
intersection	交集	jiāo jí
intersection point	交点	jiāo diǎn
inverse function	反函数	fǎn hán shù
inverse proportion	反比例	fǎn bǐ lì
irrational number	无理数	wú lǐ shù
isosceles	等腰	děng yāo
kite	鸢形	yuān xíng
length	长度	cháng dù
like terms	同类项	tóng lèi xiàng
line of best fit	最佳拟合线	zuì jiā nǐ hé xiàn
line segment	线段	xiàn duàn
line symmetry	轴对称	zhóu duì chèn
linear	一次	yī cì
lower bound	下界	xià jiè
lowest common multiple	最小公倍数	zuì xiǎo gōng bèi shù
magnitude	大小	dà xiǎo
major sector	大扇形	dà shàn xíng
mass	质量	zhì liàng
maximum	最大值	zuì dà zhí
mean	平均数	píng jūn shù
median	中位数	zhōng wèi shù
metric	公制	gōng zhì
midpoint	中点	zhōng diǎn
minimum	最小值	zuì xiǎo zhí
minor sector	小扇形	xiǎo shàn xíng
mirror line	对称轴	duì chèn zhóu
mixed number	带分数	dài fēn shù
modal class	众数组	zhòng shù zǔ
mode	众数	zhòng shù
multiple	倍数	bèi shù
multiplier	乘数	chéng shù
mutually exclusive	互斥	hù chì
natural number	自然数	zì rán shù
negative correlation	负相关	fù xiāng guān
net	展开图	zhǎn kāi tú
number line	数轴	shù zhóu
numerator	分子	fèn zǐ
obtuse angle	钝角	dùn jiǎo
octagon	八边形	bā biān xíng
opposite	对边	duì biān
order of operations	运算顺序	yùn suàn shùn xù
origin	原点	yuán diǎn
outcome	结果	jié guǒ
parabola	抛物线	pāo wù xiàn
parallel	平行	píng xíng
parallelogram	平行四边形	píng xíng sì biān xíng
pentagon	五边形	wǔ biān xíng
percentage	百分比	bǎi fēn bǐ
percentile	百分位数	bǎi fēn wèi shù
perfect square	完全平方	wán quán píng fāng
perimeter	周长	zhōu cháng
perpendicular	垂直	chuí zhí
perpendicular bisector	垂直平分线	chuí zhí píng fēn xiàn
pictogram	象形图	xiàng xíng tú
pie chart	饼图	bǐng tú
plane	平面	píng miàn
plane of symmetry	对称面	duì chèn miàn
polygon	多边形	duō biān xíng
population density	人口密度	rén kǒu mì dù
position vector	位置向量	wèi zhì xiàng liàng
positive correlation	正相关	zhèng xiāng guān
power	幂	mì
pressure	压强	yā qiáng
prime factor	质因数	zhì yīn shù
prime number	质数	zhì shù
principal	本金	běn jīn
prism	棱柱	léng zhù
probability	概率	gài lǜ
product	乘积	chéng jī
