english	简体中文	pinyin
microeconomics	微观经济学	wēi guān jīng jì xué
macroeconomics	宏观经济学	hóng guān jīng jì xué
market	市场	shì chǎng
price mechanism	价格机制	jià gé jī zhì
allocate	配置	pèi zhì
resources	资源	zī yuán
signalling	信号	xìn hào
incentive	激励	jī lì
firms	企业	qǐ yè
rationing	配给	pèi jǐ
demand	需求	xū qiú
good	物品	wù pǐn
consumers	消费者	xiāo fèi zhě
law of demand	需求定律	xū qiú dìng lǜ
inverse relationship	反向关系	fǎn xiàng guān xì
ceteris paribus	其他条件不变	qí tā tiáo jiàn bù biàn
quantity demanded	需求量	xū qiú liàng
demand curve	需求曲线	xū qiú qū xiàn
shift	移动	yí dòng
income	收入	shōu rù
tastes	偏好	piān hǎo
substitutes	替代品	tì dài pǐn
complements	互补品	hù bǔ pǐn
population	人口	rén kǒu
advertising	广告	guǎng gào
supply	供给	gōng jǐ
law of supply	供给定律	gōng jǐ dìng lǜ
direct relationship	正向关系	zhèng xiàng guān xì
quantity supplied	供给量	gōng jǐ liàng
supply curve	供给曲线	gōng jǐ qū xiàn
costs of production	生产成本	shēng chǎn chéng běn
technology	技术	jì shù
tax	税收	shuì shōu
subsidy	补贴	bǔ tiē
equilibrium	均衡	jūn héng
disequilibrium	非均衡	fēi jūn héng
excess demand	超额需求	chāo é xū qiú
shortage	短缺	duǎn quē
excess supply	超额供给	chāo é gōng jǐ
surplus	过剩	guò shèng
price elasticity of demand	需求价格弹性	xū qiú jià gé tán xìng
determinants	决定因素	jué dìng yīn sù
elastic	富有弹性	fù yǒu tán xìng
inelastic	缺乏弹性	quē fá tán xìng
unit elastic	单位弹性	dān wèi tán xìng
total revenue	总收益	zǒng shōu yì
total expenditure	总支出	zǒng zhī chū
price elasticity of supply	供给价格弹性	gōng jǐ jià gé tán xìng
spare capacity	闲置产能	xián zhì chǎn néng
stocks	库存	kù cún
market economy	市场经济	shì chǎng jīng jì
planned economy	计划经济	jì huà jīng jì
market failure	市场失灵	shì chǎng shī líng
inefficient	低效率	dī xiào lǜ
private cost	私人成本	sī rén chéng běn
external cost	外部成本	wài bù chéng běn
social cost	社会成本	shè huì chéng běn
private benefit	私人效益	sī rén xiào yì
external benefit	外部效益	wài bù xiào yì
social benefit	社会效益	shè huì xiào yì
merit goods	有益物品	yǒu yì wù pǐn
demerit goods	有害物品	yǒu hài wù pǐn
public goods	公共物品	gōng gòng wù pǐn
monopoly	垄断	lǒng duàn
mixed economy	混合经济	hùn hé jīng jì
private sector	私营部门	sī yíng bù mén
public sector	公共部门	gōng gòng bù mén
intervention	干预	gān yù
maximum price	最高价格	zuì gāo jià gé
minimum price	最低价格	zuì dī jià gé
indirect tax	间接税	jiàn jiē shuì
regulation	监管	jiān guǎn
direct provision	直接提供	zhí jiē tí gōng
