english	简体中文	pinyin
absolute advantage	绝对优势	jué duì yōu shì
accelerator	加速数	jiā sù shù
actual growth	实际增长	shí jì zēng zhǎng
administrative barriers	行政壁垒	xíng zhèng bì lěi
aggregate demand	总需求	zǒng xū qiú
aggregate supply	总供给	zǒng gōng jǐ
aid	援助	yuán zhù
allocate	配置	pèi zhì
allocative efficiency	配置效率	pèi zhì xiào lǜ
alternative	替代选择	tì dài xuǎn zé
appreciation	升值	shēng zhí
asymmetric information	信息不对称	xìn xī bú duì chēng
average cost	平均成本	píng jūn chéng běn
average revenue	平均收益	píng jūn shōu yì
balance of payments	国际收支	guó jì shōu zhī
barriers to entry	进入壁垒	jìn rù bì lěi
barriers to exit	退出壁垒	tuì chū bì lěi
benefits	福利金	fú lì jīn
birth rate	出生率	chū shēng lǜ
black market	黑市	hēi shì
boom	繁荣	fán róng
budget	预算	yù suàn
budget deficit	预算赤字	yù suàn chì zì
budget line	预算线	yù suàn xiàn
budget surplus	预算盈余	yù suàn yíng yú
buffer stock	缓冲库存	huǎn chōng kù cún
business cycle	经济周期	jīng jì zhōu qī
capital	资本	zī běn
capital goods	资本品	zī běn pǐn
cartel	卡特尔	kǎ tè ěr
central bank	中央银行	zhōng yāng yín háng
ceteris paribus	其他条件不变	qí tā tiáo jiàn bù biàn
circular flow of income	收入循环流	shōu rù xún huán liú
claimant count	申领救济人数	shēn lǐng jiù jì rén shù
closed economy	封闭经济	fēng bì jīng jì
collusion	合谋	hé móu
command economy	指令经济	zhǐ lìng jīng jì
commercial bank	商业银行	shāng yè yín háng
comparative advantage	比较优势	bǐ jiào yōu shì
competition policy	竞争政策	jìng zhēng zhèng cè
competitiveness	竞争力	jìng zhēng lì
complement	互补品	hù bǔ pǐn
conflict	冲突	chōng tū
conglomerate integration	混合一体化	hùn hé yī tǐ huà
consumer	消费者	xiāo fèi zhě
consumer equilibrium	消费者均衡	xiāo fèi zhě jūn héng
consumer goods	消费品	xiāo fèi pǐn
consumer price index	消费者价格指数	xiāo fèi zhě jià gé zhǐ shù
consumer surplus	消费者剩余	xiāo fèi zhě shèng yú
consumption	消费	xiāo fèi
contractionary	紧缩性	jǐn suō xìng
cost-push inflation	成本推动型通货膨胀	chéng běn tuī dòng xíng tōng huò péng zhàng
costs of production	生产成本	shēng chǎn chéng běn
cross elasticity of demand	需求交叉弹性	xū qiú jiāo chā tán xìng
crowding out	挤出效应	jǐ chū xiào yìng
current account	经常账户	jīng cháng zhàng hù
current account deficit	经常账户赤字	jīng cháng zhàng hù chì zì
current account surplus	经常账户盈余	jīng cháng zhàng hù yíng yú
cyclical unemployment	周期性失业	zhōu qī xìng shī yè
deadweight welfare loss	无谓损失	wú wèi sǔn shī
debt	债务	zhài wù
deflation	通货紧缩	tōng huò jǐn suō
demand	需求	xū qiú
demand curve	需求曲线	xū qiú qū xiàn
demand for labour	劳动力需求	láo dòng lì xū qiú
demand for money	货币需求	huò bì xū qiú
demand-pull inflation	需求拉动型通货膨胀	xū qiú lā dòng xíng tōng huò péng zhàng
demand-side policies	需求侧政策	xū qiú cè zhèng cè
demerit good	劣值品	liè zhí pǐn
depreciation	贬值	biǎn zhí
deregulation	放松管制	fàng sōng guǎn zhì
derived demand	派生需求	pài shēng xū qiú
determinants	决定因素	jué dìng yīn sù
devaluation	法定贬值	fǎ dìng biǎn zhí
developed country	发达国家	fā dá guó jiā
developing country	发展中国家	fā zhǎn zhōng guó jiā
diminishing marginal utility	边际效用递减	biān jì xiào yòng dì jiǎn
diminishing returns	边际报酬递减	biān jì bào chóu dì jiǎn
direct tax	直接税	zhí jiē shuì
discrimination	歧视	qí shì
diseconomies of scale	规模不经济	guī mó bù jīng jì
disequilibrium	非均衡	fēi jūn héng
disinflation	反通货膨胀	fǎn tōng huò péng zhàng
disposable income	可支配收入	kě zhī pèi shōu rù
distribution	分配	fēn pèi
division of labour	劳动分工	láo dòng fēn gōng
divorce of ownership from control	所有权与控制权分离	suǒ yǒu quán yǔ kòng zhì quán fēn lí
dumping	倾销	qīng xiāo
dynamic efficiency	动态效率	dòng tài xiào lǜ
economic decline	经济衰退	jīng jì shuāi tuì
economic development	经济发展	jīng jì fā zhǎn
economic good	经济物品	jīng jì wù pǐn
economic growth	经济增长	jīng jì zēng zhǎng
economic problem	经济问题	jīng jì wèn tí
economies of scale	规模经济	guī mó jīng jì
effective exchange rate	有效汇率	yǒu xiào huì lǜ
efficiency	效率	xiào lǜ
elastic	富有弹性	fù yǒu tán xìng
embargo	禁运	jìn yùn
employment structure	就业结构	jiù yè jié gòu
enterprise	企业家才能	qǐ yè jiā cái néng
entrepreneur	企业家	qǐ yè jiā
equality	平等	píng děng
equi-marginal principle	等边际原则	děng biān jì yuán zé
equilibrium	均衡	jūn héng
equilibrium price	均衡价格	jūn héng jià gé
equilibrium quantity	均衡数量	jūn héng shù liàng
equity	公平	gōng píng
excess demand	超额需求	chāo é xū qiú
excess supply	超额供给	chāo é gōng jǐ
exchange rate	汇率	huì lǜ
excludability	排他性	pái tā xìng
expansionary	扩张性	kuò zhāng xìng
expenditure-reducing	支出减少	zhī chū jiǎn shǎo
expenditure-switching	支出转换	zhī chū zhuǎn huàn
exports	出口	chū kǒu
external benefit	外部收益	wài bù shōu yì
external cost	外部成本	wài bù chéng běn
external growth	外部增长	wài bù zēng zhǎng
externality	外部性	wài bù xìng
factor immobility	要素不流动性	yào sù bù liú dòng xìng
factor market	要素市场	yào sù shì chǎng
factors of production	生产要素	shēng chǎn yào sù
finite	有限的	yǒu xiàn de
firm	企业	qǐ yè
fiscal policy	财政政策	cái zhèng zhèng cè
fixed cost	固定成本	gù dìng chéng běn
fixed exchange rate	固定汇率	gù dìng huì lǜ
floating exchange rate	浮动汇率	fú dòng huì lǜ
flow	流量	liú liàng
foreign direct investment	外国直接投资	wài guó zhí jiē tóu zī
foreign exchange market	外汇市场	wài huì shì chǎng
free good	免费物品	miǎn fèi wù pǐn
free trade	自由贸易	zì yóu mào yì
free-rider problem	搭便车问题	dā biàn chē wèn tí
frictional unemployment	摩擦性失业	mó cā xìng shī yè
full employment	充分就业	chōng fèn jiù yè
geographical mobility	地理流动性	dì lǐ liú dòng xìng
Giffen good	吉芬品	jí fēn pǐn
Gini coefficient	基尼系数	jī ní xì shù
globalisation	全球化	quán qiú huà
goods	物品	wù pǐn
government	政府	zhèng fǔ
government failure	政府失灵	zhèng fǔ shī líng
government spending	政府支出	zhèng fǔ zhī chū
gross domestic product	国内生产总值	guó nèi shēng chǎn zǒng zhí
gross national income	国民总收入	guó mín zǒng shōu rù
horizontal integration	横向一体化	héng xiàng yī tǐ huà
household	家庭	jiā tíng
Human Development Index	人类发展指数	rén lèi fā zhǎn zhǐ shù
imports	进口	jìn kǒu
incentive	激励	jī lì
incidence of a tax	税收归宿	shuì shōu guī sù
income	收入	shōu rù
income effect	收入效应	shōu rù xiào yìng
income elasticity of demand	需求收入弹性	xū qiú shōu rù tán xìng
indifference curve	无差异曲线	wú chā yì qū xiàn
indirect tax	间接税	jiàn jiē shuì
inelastic	缺乏弹性	quē fá tán xìng
inequality	不平等	bù píng děng
infant industry	幼稚产业	yòu zhì chǎn yè
inferior good	低档品	dī dàng pǐn
inflation	通货膨胀	tōng huò péng zhàng
informal economy	非正规经济	fēi zhèng guī jīng jì
information failure	信息失灵	xìn xī shī líng
infrastructure	基础设施	jī chǔ shè shī
injections	注入	zhù rù
interest	利息	lì xī
interest rate	利率	lì lǜ
internal growth	内部增长	nèi bù zēng zhǎng
international trade	国际贸易	guó jì mào yì
investment	投资	tóu zī
J-curve effect	J曲线效应	J qū xiàn xiào yìng
labour	劳动	láo dòng
labour force	劳动力	láo dòng lì
labour force survey	劳动力调查	láo dòng lì diào chá
labour market	劳动力市场	láo dòng lì shì chǎng
Laffer curve	拉弗曲线	lā fú qū xiàn
land	土地	tǔ dì
leakages	漏出	lòu chū
lender of last resort	最后贷款人	zuì hòu dài kuǎn rén
life expectancy	预期寿命	yù qī shòu mìng
liquidity	流动性	liú dòng xìng
liquidity preference	流动性偏好	liú dòng xìng piān hǎo
literacy	识字率	shí zì lǜ
long run	长期	cháng qī
long-run aggregate supply	长期总供给	cháng qī zǒng gōng jǐ
Lorenz curve	洛伦兹曲线	luò lún zī qū xiàn
luxury	奢侈品	shē chǐ pǐn
