english	简体中文	pinyin
Von Neumann architecture	冯·诺依曼体系结构	féng · nuò yī màn tǐ xì jié gòu
stored program	存储程序	cún chǔ chéng xù
processor	处理器	chǔ lǐ qì
arithmetic and logic unit	算术逻辑单元	suàn shù luó jí dān yuán
register	寄存器	jì cún qì
control unit	控制单元	kòng zhì dān yuán
clock speed	时钟频率	shí zhōng pín lǜ
Program Counter	程序计数器	chéng xù jì shù qì
Memory Address Register	内存地址寄存器	nèi cún dì zhǐ jì cún qì
Memory Data Register	内存数据寄存器	nèi cún shù jù jì cún qì
Current Instruction Register	当前指令寄存器	dāng qián zhǐ lìng jì cún qì
Accumulator	累加器	lěi jiā qì
Status Register	状态寄存器	zhuàng tài jì cún qì
flags	标志	biāo zhì
Index Register	变址寄存器	biàn zhǐ jì cún qì
general-purpose registers	通用寄存器	tōng yòng jì cún qì
buses	总线	zǒng xiàn
address bus	地址总线	dì zhǐ zǒng xiàn
data bus	数据总线	shù jù zǒng xiàn
control bus	控制总线	kòng zhì zǒng xiàn
cores	核心	hé xīn
word size	字长	zì zhǎng
RAM	随机存取存储器	suí jī cún qǔ cún chǔ qì
page	分页	fēn yè
cache	高速缓存	gāo sù huǎn cún
secondary storage	辅助存储器	fǔ zhù cún chǔ qì
port	端口	duān kǒu
peripheral	外围设备	wài wéi shè bèi
fetch-execute cycle	取指-执行周期	qǔ zhǐ - zhí xíng zhōu qī
interrupt	中断	zhōng duàn
interrupt service routine	中断服务程序	zhōng duàn fú wù chéng xù
machine code	机器码	jī qì mǎ
assembly language	汇编语言	huì biān yǔ yán
mnemonics	助记符	zhù jì fú
assembler	汇编器	huì biān qì
symbol table	符号表	fú hào biǎo
label	标签	biāo qiān
forward references	前向引用	qián xiàng yǐn yòng
addressing mode	寻址方式	xún zhǐ fāng shì
immediate addressing	立即寻址	lì jí xún zhǐ
direct addressing	直接寻址	zhí jiē xún zhǐ
indirect addressing	间接寻址	jiàn jiē xún zhǐ
indexed addressing	变址寻址	biàn zhǐ xún zhǐ
relative addressing	相对寻址	xiāng duì xún zhǐ
logical shift	逻辑移位	luó jí yí wèi
mask	掩码	yǎn mǎ
bit	位	wèi
