english	简体中文	pinyin
scarcity	稀缺性	xī quē xìng
resources	资源	zī yuán
finite	有限的	yǒu xiàn de
scarce	稀缺	xī quē
goods	物品	wù pǐn
services	服务	fú wù
wants	欲望	yù wàng
economic problem	经济问题	jīng jì wèn tí
opportunity cost	机会成本	jī huì chéng běn
alternative	替代选择	tì dài xuǎn zé
consumer	消费者	xiāo fèi zhě
producer	生产者	shēng chǎn zhě
firm	企业	qǐ yè
government	政府	zhèng fǔ
social science	社会科学	shè huì kē xué
model	模型	mó xíng
ceteris paribus	其他条件不变	qí tā tiáo jiàn bù biàn
positive statement	实证表述	shí zhèng biǎo shù
normative statement	规范表述	guī fàn biǎo shù
value judgement	价值判断	jià zhí pàn duàn
microeconomics	微观经济学	wēi guān jīng jì xué
macroeconomics	宏观经济学	hóng guān jīng jì xué
output	产出	chǎn chū
factors of production	生产要素	shēng chǎn yào sù
reward	报酬	bào chóu
land	土地	tǔ dì
rent	地租	dì zū
labour	劳动	láo dòng
wages	工资	gōng zī
capital	资本	zī běn
interest	利息	lì xī
enterprise	企业家才能	qǐ yè jiā cái néng
profit	利润	lì rùn
non-renewable resources	不可再生资源	bù kě zài shēng zī yuán
entrepreneur	企业家	qǐ yè jiā
specialisation	专业化	zhuān yè huà
division of labour	劳动分工	láo dòng fēn gōng
worker	工人	gōng rén
mobility	流动性	liú dòng xìng
occupational mobility	职业流动性	zhí yè liú dòng xìng
geographical mobility	地理流动性	dì lǐ liú dòng xìng
allocate	配置	pèi zhì
market economy	市场经济	shì chǎng jīng jì
planned economy	计划经济	jì huà jīng jì
command economy	指令经济	zhǐ lìng jīng jì
mixed economy	混合经济	hùn hé jīng jì
private sector	私营部门	sī yíng bù mén
public sector	公共部门	gōng gòng bù mén
price mechanism	价格机制	jià gé jī zhì
signalling	信号传递	xìn hào chuán dì
incentive	激励	jī lì
rationing	配给	pèi jǐ
production possibility curve	生产可能性曲线	shēng chǎn kě néng xìng qū xiàn
efficiency	效率	xiào lǜ
unemployment	失业	shī yè
trade-off	取舍	qǔ shě
economic growth	经济增长	jīng jì zēng zhǎng
technology	技术	jì shù
economic decline	经济衰退	jīng jì shuāi tuì
capital goods	资本品	zī běn pǐn
consumer goods	消费品	xiāo fèi pǐn
free good	免费物品	miǎn fèi wù pǐn
economic good	经济物品	jīng jì wù pǐn
private good	私人物品	sī rén wù pǐn
rivalry	竞争性	jìng zhēng xìng
excludability	排他性	pái tā xìng
public good	公共物品	gōng gòng wù pǐn
non-rivalry	非竞争性	fēi jìng zhēng xìng
non-excludability	非排他性	fēi pái tā xìng
free-rider problem	搭便车问题	dā biàn chē wèn tí
national defence	国防	guó fáng
merit good	优值品	yōu zhí pǐn
demerit good	劣值品	liè zhí pǐn
information failure	信息失灵	xìn xī shī líng
