english	简体中文	pinyin
ABO blood groups	血型	xuè xíng
absorption	吸收	xī shōu
accommodation	视觉调节	shì jué tiáo jié
acidic	酸性	suān xìng
acrosome	顶体	dǐng tǐ
active immunity	主动免疫	zhǔ dòng miǎn yì
active site	活性位点	huó xìng wèi diǎn
active transport	主动运输	zhǔ dòng yùn shū
adapted	适应	shì yìng
adaptive feature	适应特征	shì yìng tè zhēng
adrenal glands	肾上腺	shèn shàng xiàn
adrenaline	肾上腺素	shèn shàng xiàn sù
aerobic respiration	有氧呼吸	yǒu yǎng hū xī
air spaces	气腔	qì qiāng
alcohol	酒精	jiǔ jīng
algae	藻类	zǎo lèi
alimentary canal	消化道	xiāo huà dào
alkaline	碱性	jiǎn xìng
allele	等位基因	děng wèi jī yīn
alleles	等位基因	děng wèi jī yīn
alveoli	肺泡	fèi pào
amino acids	氨基酸	ān jī suān
ammonium ions	铵离子	ǎn lí zi
amniotic fluid	羊水	yáng shuǐ
amniotic sac	羊膜囊	yáng mó náng
amphibians	两栖动物	liǎng qī dòng wù
amylase	淀粉酶	diàn fěn méi
anaerobic respiration	无氧呼吸	wú yǎng hū xī
ancestor	祖先	zǔ xiān
animal	动物	dòng wù
antagonistic	拮抗	jié kàng
antennae	触角	chù jiǎo
anther	花药	huā yào
antibiotic	抗生素	kàng shēng sù
antibiotics	抗生素	kàng shēng sù
antibodies	抗体	kàng tǐ
antigens	抗原	kàng yuán
anus	肛门	gāng mén
aorta	主动脉	zhǔ dòng mài
arachnids	蛛形类	zhū xíng lèi
arteries	动脉	dòng mài
arterioles	小动脉	xiǎo dòng mài
arthropods	节肢动物	jié zhī dòng wù
artificial insemination	人工授精	rén gōng shòu jīng
artificial selection	人工选择	rén gōng xuǎn zé
asexual reproduction	无性生殖	wú xìng shēng zhí
assimilation	同化	tóng huà
atrioventricular valves	房室瓣	fáng shì bàn
atrium	心房	xīn fáng
auxin	生长素	shēng zhǎng sù
backbone	脊柱	jí zhù
bacteria	细菌	xì jūn
bacterium	细菌	xì jūn
balanced diet	均衡饮食	jūn héng yǐn shí
base sequence	碱基序列	jiǎn jī xù liè
bases	碱基	jiǎn jī
beak	喙	huì
Benedict's solution	本尼迪特试剂	běn ní dí tè shì jì
bile	胆汁	dǎn zhī
binomial system	双名法	shuāng míng fǎ
biodiversity	生物多样性	shēng wù duō yàng xìng
biofuel	生物燃料	shēng wù rán liào
biomass	生物量	shēng wù liàng
biotechnology	生物技术	shēng wù jì shù
birds	鸟类	niǎo lèi
biuret	双缩脲	shuāng suō niào
bladder	膀胱	páng guāng
blind spot	盲点	máng diǎn
blood groups	血型	xuè xíng
blood vessels	血管	xuè guǎn
body fluids	体液	tǐ yè
bonds	化学键	huà xué jiàn
brain	大脑	dà nǎo
breast milk	母乳	mǔ rǔ
breast-feeding	母乳喂养	mǔ rǔ wèi yǎng
bronchi	支气管	zhī qì guǎn
bronchioles	细支气管	xì zhī qì guǎn
calcium	钙	gài
canines	犬齿	quǎn chǐ
capillaries	毛细血管	máo xì xuè guǎn
captive breeding	圈养繁殖	quān yǎng fán zhí
carbohydrates	碳水化合物	tàn shuǐ huà hé wù
carbon	碳	tàn
carbon cycle	碳循环	tàn xún huán
carbon dioxide	二氧化碳	èr yǎng huà tàn
carnivore	食肉动物	shí ròu dòng wù
carpel	雌蕊	cí ruǐ
cartilage	软骨	ruǎn gǔ
catalyst	催化剂	cuī huà jì
cell membrane	细胞膜	xì bāo mó
cell sap	细胞液	xì bāo yè
cell wall	细胞壁	xì bāo bì
cell walls	细胞壁	xì bāo bì
cells	细胞	xì bāo
cellulose	纤维素	xiān wéi sù
cement	牙骨质	yá gǔ zhì
central nervous system	中枢神经系统	zhōng shū shén jīng xì tǒng
cervix	子宫颈	zi gōng jǐng
characteristics	特征	tè zhēng
chemical reaction	化学反应	huà xué fǎn yìng
chemical reactions	化学反应	huà xué fǎn yìng
chloride ions	氯离子	lǜ lí zi
chlorophyll	叶绿素	yè lǜ sù
chloroplasts	叶绿体	yè lǜ tǐ
cholera	霍乱	huò luàn
chromosomes	染色体	rǎn sè tǐ
ciliary muscles	睫状肌	jié zhuàng jī
ciliated cells	纤毛细胞	xiān máo xì bāo
circular muscles	环肌	huán jī
circulatory system	循环系统	xún huán xì tǒng
classify	分类	fēn lèi
climate change	气候变化	qì hòu biàn huà
closed seasons	禁渔期	jìn yú qī
clot	凝血	níng xuè
codes	编码	biān mǎ
codominance	共显性	gòng xiǎn xìng
collisions	碰撞	pèng zhuàng
colon	结肠	jié cháng
colour blindness	色盲	sè máng
column	水柱	shuǐ zhù
combustion	燃烧	rán shāo
community	群落	qún luò
competition	竞争	jìng zhēng
complementary	互补	hù bǔ
concentration	浓度	nóng dù
concentration gradient	浓度梯度	nóng dù tī dù
cones	视锥细胞	shì zhuī xì bāo
conserved	保护	bǎo hù
consumer	消费者	xiāo fèi zhě
contaminated	污染	wū rǎn
continuous variation	连续变异	lián xù biàn yì
contract	收缩	shōu suō
control	对照	duì zhào
coordinate	协调	xié tiáo
cornea	角膜	jiǎo mó
coronary arteries	冠状动脉	guān zhuàng dòng mài
coronary heart disease	冠心病	guān xīn bìng
cortex	皮层	pí céng
cotyledons	子叶	zǐ yè
crop plants	农作物	nóng zuò wù
crops	农作物	nóng zuò wù
cross	杂交	zá jiāo
cross-pollination	异花传粉	yì huā chuán fěn
crustaceans	甲壳类	jiǎ qiào lèi
cuticle	角质层	jiǎo zhì céng
cytoplasm	细胞质	xì bāo zhì
daughter cell	子细胞	zi xì bāo
deamination	脱氨基作用	tuō ān jī zuò yòng
death phase	衰亡期	shuāi wáng qī
decomposer	分解者	fēn jiě zhě
decomposers	分解者	fēn jiě zhě
decomposition	分解	fēn jiě
defences	防御	fáng yù
deforestation	森林砍伐	sēn lín kǎn fá
dehydration	脱水	tuō shuǐ
denatured	变性	biàn xìng
denitrification	反硝化作用	fǎn xiāo huà zuò yòng
dentine	牙本质	yá běn zhì
deoxygenated blood	缺氧血	quē yǎng xuè
diabetes	糖尿病	táng niào bìng
dialysis tubing	透析管	tòu xī guǎn
diaphragm	膈肌	gé jī
diarrhoea	腹泻	fù xiè
dichotomous key	二歧检索表	èr qí jiǎn suǒ biǎo
dicotyledons	双子叶植物	shuāng zǐ yè zhí wù
diffuse	扩散	kuò sàn
diffuses	扩散	kuò sàn
diffusion	扩散	kuò sàn
digestion	消化	xiāo huà
digestive system	消化系统	xiāo huà xì tǒng
diploid	二倍体	èr bèi tǐ
direct contact	直接接触	zhí jiē jiē chù
discontinuous variation	不连续变异	bù lián xù biàn yì
disease	疾病	jí bìng
dissolve	溶解	róng jiě
division	分裂	fēn liè
dominant	显性	xiǎn xìng
double circulation	双循环	shuāng xún huán
double helix	双螺旋	shuāng luó xuán
drug	药物	yào wù
drugs	药物	yào wù
dry mass	干重	gàn zhòng
duodenum	十二指肠	shí èr zhǐ cháng
duration	持续时间	chí xù shí jiān
ecosystem	生态系统	shēng tài xì tǒng
ecosystems	生态系统	shēng tài xì tǒng
effector	效应器	xiào yìng qì
egestion	排遗	pái yí
egg cells	卵细胞	luǎn xì bāo
electrical impulses	电脉冲	diàn mài chōng
elements	元素	yuán sù
elongate	伸长	shēn cháng
embryo	胚胎	pēi tāi
emulsifies	乳化	rǔ huà
emulsion	乳浊液	rǔ zhuó yè
enamel	牙釉质	yá yòu zhì
endangered	濒危	bīn wēi
endocrine glands	内分泌腺	nèi fēn mì xiàn
energy	能量	néng liàng
environment	环境	huán jìng
enzyme-substrate complex	酶底物复合物	méi dǐ wù fù hé wù
enzymes	酶	méi
