english	简体中文	pinyin
organisational structure	组织结构	zǔ zhī jié gòu
hierarchy	层级	céng jí
chain of command	指挥链	zhǐ huī liàn
span of control	管理幅度	guǎn lǐ fú dù
centralisation	集权	jí quán
decentralisation	分权	fēn quán
delayering	精简层级	jīng jiǎn céng jí
matrix structure	矩阵结构	jǔ zhèn jié gòu
delegation	授权	shòu quán
accountability	问责	wèn zé
communication	沟通	gōu tōng
sender	发送者	fā sòng zhě
medium	媒介	méi jiè
receiver	接收者	jiē shōu zhě
feedback	反馈	fǎn kuì
barrier	障碍	zhàng ài
leadership style	领导风格	lǐng dǎo fēng gé
leader	领导	lǐng dǎo
autocratic	专制型	zhuān zhì xíng
democratic	民主型	mín zhǔ xíng
paternalistic	家长式	jiā zhǎng shì
laissez-faire	放任型	fàng rèn xíng
emotional intelligence	情商	qíng shāng
human resource management	人力资源管理	rén lì zī yuán guǎn lǐ
hard HRM	硬性人力资源管理	yìng xìng rén lì zī yuán guǎn lǐ
soft HRM	软性人力资源管理	ruǎn xìng rén lì zī yuán guǎn lǐ
workforce planning	人力规划	rén lì guī huà
management of change	变革管理	biàn gé guǎn lǐ
employer-employee relations	劳资关系	láo zī guān xì
trade union	工会	gōng huì
collective bargaining	集体谈判	jí tǐ tán pàn
industrial action	劳工行动	láo gōng háng dòng
strike	罢工	bà gōng
