english	简体中文	pinyin
data transmission	数据传输	shù jù chuán shū
packets	数据包	shù jù bāo
packet header	包头	bāo tóu
payload	有效载荷	yǒu xiào zài hè
trailer	尾部	wěi bù
address	地址	dì zhǐ
packet switching	数据包交换	shù jù bāo jiāo huàn
routers	路由器	lù yóu qì
serial	串行	chuàn xíng
parallel	并行	bìng xíng
simplex	单工	dān gōng
half-duplex	半双工	bàn shuāng gōng
full-duplex	全双工	quán shuāng gōng
universal serial bus	通用串行总线	tōng yòng chuàn xíng zǒng xiàn
interface	接口	jiē kǒu
interference	干扰	gān rǎo
parity check	奇偶校验	jī ǒu jiào yàn
parity bit	奇偶校验位	jī ǒu jiào yàn wèi
checksum	校验和	jiào yàn hé
echo check	回送校验	huí sòng jiào yàn
automatic repeat request	自动重传请求	zì dòng zhòng chuán qǐng qiú
acknowledgements	确认	què rèn
timeout	超时	chāo shí
check digit	校验码	jiào yàn mǎ
transposition error	换位错误	huàn wèi cuò wù
barcodes	条形码	tiáo xíng mǎ
encryption	加密	jiā mì
intercepted	拦截	lán jié
plaintext	明文	míng wén
ciphertext	密文	mì wén
symmetric encryption	对称加密	duì chèn jiā mì
key	密钥	mì yào
asymmetric encryption	非对称加密	fēi duì chèn jiā mì
public key	公钥	gōng yào
private key	私钥	sī yào
