english	简体中文	pinyin
a.c. generator	交流发电机	jiāo liú fā diàn jī
absolute zero	绝对零度	jué duì líng dù
absorb	吸收	xī shōu
absorber	吸收体	xī shōu tǐ
acceleration	加速度	jiā sù dù
acceleration of free fall	自由落体加速度	zì yóu luò tǐ jiā sù dù
accretion	吸积	xī jī
accretion disc	吸积盘	xī jī pán
air resistance	空气阻力	kōng qì zǔ lì
alpha particle	α粒子	α lì zi
alternating current	交流电	jiāo liú diàn
aluminium	铝	lǚ
ammeter	电流表	diàn liú biǎo
ampere	安培	ān péi
amplitude	振幅	zhèn fú
angle of incidence	入射角	rù shè jiǎo
angle of reflection	反射角	fǎn shè jiǎo
angle of refraction	折射角	zhé shè jiǎo
appliance	电器	diàn qì
area under the line	线下面积	xiàn xià miàn jī
asteroid	小行星	xiǎo xíng xīng
at rest	静止	jìng zhǐ
atom	原子	yuán zi
attract	吸引	xī yǐn
axis	轴	zhóu
background radiation	背景辐射	bèi jǐng fú shè
bacteria	细菌	xì jūn
balance	天平	tiān píng
battery	电池组	diàn chí zǔ
bell	电铃	diàn líng
beta particle	β粒子	β lì zi
Big Bang	大爆炸	dà bào zhà
black hole	黑洞	hēi dòng
boiling	沸腾	fèi téng
Brownian motion	布朗运动	bù lǎng yùn dòng
brushes	电刷	diàn shuā
cancer	癌症	ái zhèng
casing	外壳	wài ké
cell	电池	diàn chí
centre of gravity	重心	zhòng xīn
charge	电荷	diàn hè
charging by friction	摩擦起电	mó cā qǐ diàn
chemical	化学能	huà xué néng
circuit	电路	diàn lù
circumference	周长	zhōu cháng
coil	线圈	xiàn quān
comet	彗星	huì xīng
compass	指南针	zhǐ nán zhēn
compression	压缩	yā suō
condensation	凝结	níng jié
conduction	热传导	rè chuán dǎo
conductor	导体	dǎo tǐ
conservation of energy	能量守恒	néng liàng shǒu héng
conservation of momentum	动量守恒	dòng liàng shǒu héng
convection	对流	duì liú
conventional current	常规电流	cháng guī diàn liú
converging lens	凸透镜	tū tòu jìng
cools down	冷却	lěng què
corrected	修正	xiū zhèng
cosmic microwave background radiation	宇宙微波背景辐射	yǔ zhòu wēi bō bèi jǐng fú shè
cosmic rays	宇宙射线	yǔ zhòu shè xiàn
coulomb	库仑	kù lún
count rate	计数率	jì shù lǜ
counter	计数器	jì shù qì
crest	波峰	bō fēng
critical angle	临界角	lín jiè jiǎo
cross-sectional area	横截面积	héng jié miàn jī
d.c. motor	直流电动机	zhí liú diàn dòng jī
damp	潮湿	cháo shī
decay	衰变	shuāi biàn
deceleration	减速	jiǎn sù
deflect	偏转	piān zhuǎn
delocalised electrons	自由电子	zì yóu diàn zi
density	密度	mì dù
depth	深度	shēn dù
detector	探测器	tàn cè qì
diameter	直径	zhí jìng
diffraction	衍射	yǎn shè
diode	二极管	èr jí guǎn
direct current	直流电	zhí liú diàn
directly proportional	成正比	chéng zhèng bǐ
dispersion	色散	sè sàn
displacement method	排水法	pái shuǐ fǎ
distance–time graph	距离-时间图	jù lí - shí jiān tú
diverging lens	凹透镜	āo tòu jìng
dose	剂量	jì liàng
double-insulated	双重绝缘	shuāng chóng jué yuán
dull	暗淡	àn dàn
dust	尘埃	chén āi
dwarf planet	矮行星	ǎi xíng xīng
earth wire	地线	dì xiàn
earthed	接地	jiē dì
echo	回声	huí shēng
efficiency	效率	xiào lǜ
elastic (strain)	弹性势能	tán xìng shì néng
electric charge	电荷	diàn hè
electric current	电流	diàn liú
electric field	电场	diàn chǎng
electrical energy	电能	diàn néng
electrical power	电功率	diàn gōng lǜ
electromagnet	电磁铁	diàn cí tiě
electromagnetic induction	电磁感应	diàn cí gǎn yìng
electromagnetic spectrum	电磁波谱	diàn cí bō pǔ
electromagnetic wave	电磁波	diàn cí bō
electromotive force	电动势	diàn dòng shì
electron	电子	diàn zi
electrostatic	静电能	jìng diàn néng
element	元素	yuán sù
ellipse	椭圆	tuǒ yuán
emitter	发射体	fā shè tǐ
energy	能量	néng liàng
equilibrium	平衡	píng héng
evaporation	蒸发	zhēng fā
expanding	膨胀	péng zhàng
exposure	照射	zhào shè
extension	伸长量	shēn cháng liàng
filament lamp	灯丝灯泡	dēng sī dēng pào
floats	漂浮	piāo fú
focal length	焦距	jiāo jù
force	力	lì
free electrons	自由电子	zì yóu diàn zi
frequency	频率	pín lǜ
friction	摩擦力	mó cā lì
fuel	燃料	rán liào
fuse	保险丝	bǎo xiǎn sī
fuse rating	额定值	é dìng zhí
galaxy	星系	xīng xì
gamma radiation	γ射线	γ shè xiàn
gamma rays	伽马射线	gā mǎ shè xiàn
gas	气体	qì tǐ
gold foil	金箔	jīn bó
gradient	斜率	xié lǜ
gravitational field strength	重力场强度	zhòng lì chǎng qiáng dù
gravitational potential	重力势能	zhòng lì shì néng
gravitational potential energy	重力势能	zhòng lì shì néng
gravity	引力	yǐn lì
half-life	半衰期	bàn shuāi qī
hazard	危险	wēi xiǎn
heater	加热器	jiā rè qì
helium	氦	hài
high-voltage transmission	高压输电	gāo yā shū diàn
Hubble constant	哈勃常数	hā bó cháng shù
hydrogen	氢	qīng
impulse	冲量	chōng liàng
induced magnetism	感应磁性	gǎn yìng cí xìng
infrared	红外线	hóng wài xiàn
insulation	绝缘层	jué yuán céng
insulator	绝缘体	jué yuán tǐ
internal (thermal)	内能	nèi néng
internal energy	内能	nèi néng
interstellar cloud	星际云	xīng jì yún
inversely proportional	成反比	chéng fǎn bǐ
ion	离子	lí zi
ionising	电离	diàn lí
iron filings	铁屑	tiě xiè
irregular solid	不规则固体	bù guī zé gù tǐ
isotope	同位素	tóng wèi sù
joule	焦耳	jiāo ěr
junction	节点	jié diǎn
kelvin	开尔文	kāi ěr wén
kilowatt-hour	千瓦时	qiān wǎ shí
kinetic	动能	dòng néng
kinetic energy	动能	dòng néng
kinetic particle model	分子动理论	fèn zǐ dòng lǐ lùn
lamina	薄片	báo piàn
lead	铅	qiān
light	光	guāng
light-dependent resistor	光敏电阻	guāng mǐn diàn zǔ
light-emitting diode	发光二极管	fā guāng èr jí guǎn
light-year	光年	guāng nián
limit of proportionality	比例极限	bǐ lì jí xiàn
liquid	液体	yè tǐ
live wire	火线	huǒ xiàn
living cells	细胞	xì bāo
load–extension graph	载荷-伸长图	zài hè - shēn cháng tú
longitudinal wave	纵波	zòng bō
loudspeaker	扬声器	yáng shēng qì
magnet	磁体	cí tǐ
magnetic field	磁场	cí chǎng
magnetic field lines	磁场线	cí chǎng xiàn
magnetic material	磁性材料	cí xìng cái liào
magnetic pole	磁极	cí jí
magnetise	磁化	cí huà
magnifying glass	放大镜	fàng dà jìng
magnitude	大小	dà xiǎo
mains supply	市电	shì diàn
mass	质量	zhì liàng
matter	物质	wù zhì
measure many and divide	测多个再相除	cè duō gè zài xiāng chú
measurement	测量	cè liáng
measuring cylinder	量筒	liáng tǒng
medium	介质	jiè zhì
melting	熔化	róng huà
meniscus	弯月面	wān yuè miàn
microwave	微波	wēi bō
microwaves	微波	wēi bō
Milky Way	银河系	yín hé xì
moment	力矩	lì jǔ
momentum	动量	dòng liàng
monochromatic	单色	dān sè
Moon	月球	yuè qiú
motion	运动	yùn dòng
motor	电动机	diàn dòng jī
mutation	突变	tū biàn
nebula	星云	xīng yún
negative charge	负电荷	fù diàn hè
neutral wire	零线	líng xiàn
neutron	中子	zhōng zi
neutron star	中子星	zhōng zi xīng
normal	法线	fǎ xiàn
north pole	北极	běi jí
nuclear	核能	hé néng
nuclear fission	核裂变	hé liè biàn
nuclear fusion	核聚变	hé jù biàn
nuclear reaction	核反应	hé fǎn yìng
nucleon	核子	hé zǐ
nucleon number	核子数	hé zǐ shù
nucleus	原子核	yuán zǐ hé
nuclide	核素	hé sù
ohm	欧姆	ōu mǔ
optical fibre	光纤	guāng xiān
orbit	轨道	guǐ dào
orbital speed	轨道速率	guǐ dào sù lǜ
overheating	过热	guò rè
overloading	过载	guò zài
parallel	并联	bìng lián
particle	粒子	lì zi
pascal	帕斯卡	pà sī kǎ
pendulum	摆	bǎi
penetrating	穿透	chuān tòu
period	周期	zhōu qī
permanent magnet	永磁体	yǒng cí tǐ
phases	月相	yuè xiàng
pivot	支点	zhī diǎn
plane mirror	平面镜	píng miàn jìng
planet	行星	xíng xīng
point charge	点电荷	diǎn diàn hè
positive charge	正电荷	zhèng diàn hè
potential difference	电势差	diàn shì chà
potential divider	分压器	fēn yā qì
power	功率	gōng lǜ
power supply	电源	diàn yuán
pressure	压强	yā qiáng
primary coil	原线圈	yuán xiàn quān
principal focus	焦点	jiāo diǎn
principle of conservation of energy	能量守恒定律	néng liàng shǒu héng dìng lǜ
principle of moments	力矩原理	lì jǔ yuán lǐ
prism	棱镜	léng jìng
propagation	传播	chuán bō
proton	质子	zhì zi
proton number	质子数	zhì zi shù
protostar	原恒星	yuán héng xīng
radiation	辐射	fú shè
radio waves	无线电波	wú xiàn diàn bō
radioactive	放射性	fàng shè xìng
radon	氡	dōng
random	随机	suí jī
rarefaction	稀疏	xī shū
real image	实像	shí xiàng
receding	退行	tuì xíng
red giant	红巨星	hóng jù xīng
red supergiant	红超巨星	hóng chāo jù xīng
redshift	红移	hóng yí
reflection	反射	fǎn shè
reflector	反射体	fǎn shè tǐ
refraction	折射	zhé shè
refractive index	折射率	zhé shè lǜ
region	区域	qū yù
regular solid	规则固体	guī zé gù tǐ
relative	相对	xiāng duì
relay	继电器	jì diàn qì
repel	排斥	pái chì
resistance	电阻	diàn zǔ
resistor	电阻器	diàn zǔ qì
resultant	合矢量	hé shǐ liàng
resultant force	合力	hé lì
ripple tank	波纹水槽	bō wén shuǐ cáo
rocky	岩石	yán shí
rotate	自转	zì zhuàn
ruler	直尺	zhí chǐ
sample	样品	yàng pǐn
Sankey diagram	桑基图	sāng jī tú
satellite	卫星	wèi xīng
scalar	标量	biāo liàng
scattering	散射	sǎn shè
seasons	季节	jì jié
secondary coil	副线圈	fù xiàn quān
series	串联	chuàn lián
shape	形状	xíng zhuàng
shielding	屏蔽	píng bì
slip rings	滑环	huá huán
smoke alarm	烟雾报警器	yān wù bào jǐng qì
socket	插座	chā zuò
soft iron	软铁	ruǎn tiě
