english	简体中文	pinyin
abnormal	异常数据	yì cháng shù jù
abstraction	抽象	chōu xiàng
access levels	访问权限	fǎng wèn quán xiàn
accumulator	累加器	lěi jiā qì
acknowledgements	确认	què rèn
actuator	执行器	zhí xíng qì
adapt	适应	shì yìng
address	地址	dì zhǐ
address bus	地址总线	dì zhǐ zǒng xiàn
adware	广告软件	guǎng gào ruǎn jiàn
agriculture	农业	nóng yè
algorithm	算法	suàn fǎ
amplitude	振幅	zhèn fú
analysis	分析	fēn xī
AND gate	与门	yǔ mén
anti-malware	反恶意软件	fǎn è yì ruǎn jiàn
anti-spyware	反间谍软件	fǎn jiàn dié ruǎn jiàn
anti-virus	杀毒软件	shā dú ruǎn jiàn
application software	应用软件	yìng yòng ruǎn jiàn
approximate	近似的	jìn sì de
arithmetic logic unit	算术逻辑单元	suàn shù luó jí dān yuán
array	数组	shù zǔ
artificial intelligence	人工智能	rén gōng zhì néng
ascending	升序	shēng xù
assembly language	汇编语言	huì biān yǔ yán
asymmetric encryption	非对称加密	fēi duì chèn jiā mì
authentication	身份验证	shēn fèn yàn zhèng
auto-completion	自动补全	zì dòng bǔ quán
auto-correction	自动纠错	zì dòng jiū cuò
automated system	自动化系统	zì dòng huà xì tǒng
automatic repeat request	自动重传请求	zì dòng zhòng chuán qǐng qiú
average	平均值	píng jūn zhí
bandwidth	带宽	dài kuān
barcode scanner	条形码扫描器	tiáo xíng mǎ sǎo miáo qì
barcodes	条形码	tiáo xíng mǎ
base	基数	jī shù
binary	二进制	èr jìn zhì
biometrics	生物识别	shēng wù shí bié
bit	位	wèi
blockchain	区块链	qū kuài liàn
Boolean	布尔值	bù ěr zhí
Boolean logic	布尔逻辑	bù ěr luó jí
boundary	边界数据	biān jiè shù jù
brute force attack	暴力破解	bào lì pò jiě
bubble sort	冒泡排序	mào pào pái xù
buses	总线	zǒng xiàn
byte	字节	zì jié
cache	高速缓存	gāo sù huǎn cún
capacitive	电容式	diàn róng shì
car park barrier	停车场道闸	tíng chē chǎng dào zhá
central heating	中央供暖	zhōng yāng gōng nuǎn
central processing unit	中央处理器	zhōng yāng chǔ lǐ qì
char	字符	zì fú
character	字符	zì fú
character set	字符集	zì fú jí
check digit	校验码	jiào yàn mǎ
checksum	校验和	jiào yàn hé
chemical process	化学过程	huà xué guò chéng
ciphertext	密文	mì wén
clock speed	时钟速度	shí zhōng sù dù
code editor	代码编辑器	dài mǎ biān jí qì
coding	编码	biān mǎ
colour depth	颜色深度	yán sè shēn dù
comments	注释	zhù shì
compiler	编译器	biān yì qì
compression	压缩	yā suō
condition	条件	tiáo jiàn
consistent	一致的	yí zhì de
constant	常量	cháng liàng
control bus	控制总线	kòng zhì zǒng xiàn
control unit	控制单元	kòng zhì dān yuán
cores	核心	hé xīn
count-controlled loop	计数循环	jì shù xún huán
counting	计数	jì shù
current instruction register	当前指令寄存器	dāng qián zhǐ lìng jì cún qì
cyber security	网络安全	wǎng luò ān quán
data	数据	shù jù
data bus	数据总线	shù jù zǒng xiàn
data interception	数据拦截	shù jù lán jié
data transmission	数据传输	shù jù chuán shū
data type	数据类型	shù jù lèi xíng
database	数据库	shù jù kù
database management system	数据库管理系统	shù jù kù guǎn lǐ xì tǒng
date/time	日期时间	rì qī shí jiān
declare	声明	shēng míng
decomposition	分解	fēn jiě
definite	确定的	què dìng de
denary	十进制	shí jìn zhì
descending	降序	jiàng xù
design	设计	shè jì
device driver	设备驱动程序	shè bèi qū dòng chéng xù
digit	数字	shù zì
digital currency	数字货币	shù zì huò bì
digital ledger	数字账本	shù zì zhàng běn
distributed denial of service	分布式拒绝服务	fēn bù shì jù jué fú wù
domain name service	域名服务	yù míng fú wù
domestic appliances	家用电器	jiā yòng diàn qì
double entry	双重输入	shuāng chóng shū rù
draw conclusions	得出结论	dé chū jié lùn
echo check	回送校验	huí sòng jiào yàn
electrical components	电子元件	diàn zi yuán jiàn
electronic form	电子形式	diàn zi xíng shì
embedded system	嵌入式系统	qiàn rù shì xì tǒng
emoji	表情符号	biǎo qíng fú hào
encryption	加密	jiā mì
environment	环境	huán jìng
error diagnostics	错误诊断	cuò wù zhěn duàn
expert systems	专家系统	zhuān jiā xì tǒng
extreme	极端数据	jí duān shù jù
factory equipment	工厂设备	gōng chǎng shè bèi
fetch-execute cycle	取指执行周期	qǔ zhǐ zhí xíng zhōu qī
field	字段	zì duàn
file	文件	wén jiàn
firewall	防火墙	fáng huǒ qiáng
flash memory	闪存	shǎn cún
flowchart	流程图	liú chéng tú
format check	格式检查	gé shì jiǎn chá
full-duplex	全双工	quán shuāng gōng
function	函数	hán shù
general AI	通用人工智能	tōng yòng rén gōng zhì néng
global variable	全局变量	quán jú biàn liàng
greenhouse	温室	wēn shì
hacking	黑客攻击	hēi kè gōng jī
half-duplex	半双工	bàn shuāng gōng
hardware	硬件	yìng jiàn
hash value	哈希值	hā xī zhí
hexadecimal	十六进制	shí liù jìn zhì
high-level language	高级语言	gāo jí yǔ yán
human intervention	人工干预	rén gōng gān yù
hypertext markup language	超文本标记语言	chāo wén běn biāo jì yǔ yán
index	索引	suǒ yǐn
infrared	红外线	hóng wài xiàn
infrastructure	基础设施	jī chǔ shè shī
inkjet printer	喷墨打印机	pēn mò dǎ yìn jī
input	输入	shū rù
instructions	指令	zhǐ lìng
integer	整数	zhěng shù
integrated development environment	集成开发环境	jí chéng kāi fā huán jìng
intercepted	拦截	lán jié
interface	接口	jiē kǒu
interference	干扰	gān rǎo
internet	互联网	hù lián wǎng
internet protocol	网际协议	wǎng jì xié yì
interpreter	解释器	jiě shì qì
interrupt	中断	zhōng duàn
IP address	网际协议地址	wǎng jì xié yì dì zhǐ
iteration	迭代	dié dài
iterative testing	迭代测试	dié dài cè shì
key	密钥	mì yào
lack of independent decision-making	缺乏独立决策	quē fá dú lì jué cè
laser printer	激光打印机	jī guāng dǎ yìn jī
learn	学习	xué xí
least significant bit	最低有效位	zuì dī yǒu xiào wèi
length	长度	cháng dù
length check	长度检查	cháng dù jiǎn chá
library routine	库程序	kù chéng xù
linear search	线性查找	xiàn xìng chá zhǎo
