english	简体中文	pinyin
wave	波	bō
energy	能量	néng liàng
wavefront	波前	bō qián
wavelength	波长	bō cháng
frequency	频率	pín lǜ
crest	波峰	bō fēng
trough	波谷	bō gǔ
amplitude	振幅	zhèn fú
wave speed	波速	bō sù
transverse wave	横波	héng bō
propagation	传播	chuán bō
longitudinal wave	纵波	zòng bō
ripple tank	波纹水槽	bō wén shuǐ cáo
reflection	反射	fǎn shè
refraction	折射	zhé shè
diffraction	衍射	yǎn shè
light	光	guāng
normal	法线	fǎ xiàn
angle of incidence	入射角	rù shè jiǎo
angle of reflection	反射角	fǎn shè jiǎo
plane mirror	平面镜	píng miàn jìng
angle of refraction	折射角	zhé shè jiǎo
refractive index	折射率	zhé shè lǜ
total internal reflection	全反射	quán fǎn shè
critical angle	临界角	lín jiè jiǎo
optical fibre	光纤	guāng xiān
converging lens	凸透镜	tū tòu jìng
principal focus	焦点	jiāo diǎn
focal length	焦距	jiāo jù
diverging lens	凹透镜	āo tòu jìng
real image	实像	shí xiàng
virtual image	虚像	xū xiàng
magnifying glass	放大镜	fàng dà jìng
prism	棱镜	léng jìng
spectrum	光谱	guāng pǔ
dispersion	色散	sè sàn
monochromatic	单色	dān sè
electromagnetic spectrum	电磁波谱	diàn cí bō pǔ
vacuum	真空	zhēn kōng
radio waves	无线电波	wú xiàn diàn bō
microwaves	微波	wēi bō
infrared	红外线	hóng wài xiàn
ultraviolet	紫外线	zǐ wài xiàn
X-rays	X射线	X shè xiàn
gamma rays	伽马射线	gā mǎ shè xiàn
sound	声音	shēng yīn
compression	压缩	yā suō
rarefaction	稀疏	xī shū
medium	介质	jiè zhì
echo	回声	huí shēng
