english	简体中文	pinyin
abiotic factor	非生物因素	fēi shēng wù yīn sù
abscisic acid	脱落酸	tuō luò suān
absorption	吸收	xī shōu
absorption spectrum	吸收光谱	xī shōu guāng pǔ
abundance	丰度	fēng dù
acetyl	乙酰基	yǐ xiān jī
acetylcholine	乙酰胆碱	yǐ xiān dǎn jiǎn
acidify	酸化	suān huà
action potential	动作电位	dòng zuò diàn wèi
action spectrum	作用光谱	zuò yòng guāng pǔ
activation energy	活化能	huó huà néng
active immunity	主动免疫	zhǔ dòng miǎn yì
active site	活性位点	huó xìng wèi diǎn
active transport	主动运输	zhǔ dòng yùn shū
adapted	适应	shì yìng
adenine	腺嘌呤	xiàn piào líng
adenylyl cyclase	腺苷酸环化酶	xiàn gān suān huán huà méi
adhesion	附着力	fù zhuó lì
aerenchyma	通气组织	tōng qì zǔ zhī
aerobic	有氧	yǒu yǎng
affinity	亲和力	qīn hé lì
agar	琼脂	qióng zhī
AIDS	艾滋病	ài zī bìng
albinism	白化病	bái huà bìng
alginate	海藻酸盐	hǎi zǎo suān yán
allele	等位基因	děng wèi jī yīn
allele frequency	等位基因频率	děng wèi jī yīn pín lǜ
allopatric speciation	异域物种形成	yì yù wù zhǒng xíng chéng
alveoli	肺泡	fèi pào
amino acid	氨基酸	ān jī suān
amino group	氨基	ān jī
amplification	放大	fàng dà
amplify	扩增	kuò zēng
amylase	淀粉酶	diàn fěn méi
amylopectin	支链淀粉	zhī liàn diàn fěn
amylose	直链淀粉	zhí liàn diàn fěn
anabolic	合成代谢	hé chéng dài xiè
anaerobic	无氧	wú yǎng
anaphase	后期	hòu qī
Animalia	动物界	dòng wù jiè
antibiotic	抗生素	kàng shēng sù
antibody	抗体	kàng tǐ
anticodon	反密码子	fǎn mì mǎ zi
antidiuretic hormone	抗利尿激素	kàng lì niào jī sù
antigen	抗原	kàng yuán
antigen-binding site	抗原结合位点	kàng yuán jié hé wèi diǎn
antiparallel	反平行	fǎn píng xíng
aorta	主动脉	zhǔ dòng mài
apoplast pathway	质外体途径	zhì wài tǐ tú jìng
aquaporin	水通道蛋白	shuǐ tōng dào dàn bái
aquatic plant	水生植物	shuǐ shēng zhí wù
Archaea	古菌	gǔ jūn
arteriole	小动脉	xiǎo dòng mài
artery	动脉	dòng mài
artificial immunity	人工免疫	rén gōng miǎn yì
artificial selection	人工选择	rén gōng xuǎn zé
asexual reproduction	无性生殖	wú xìng shēng zhí
assimilate	同化物	tóng huà wù
atmosphere	大气	dà qì
ATP synthase	合酶	hé méi
atrioventricular node	房室结	fáng shì jié
atrium	心房	xīn fáng
autosome	常染色体	cháng rǎn sè tǐ
auxin	生长素	shēng zhǎng sù
Bacteria	细菌	xì jūn
bacterium	细菌	xì jūn
barley	大麦	dà mài
base	碱基	jiǎn jī
base pair	碱基对	jiǎn jī duì
bilayer	双层	shuāng céng
biodiversity	生物多样性	shēng wù duō yàng xìng
biosensor	生物传感器	shēng wù chuán gǎn qì
biotic factor	生物因素	shēng wù yīn sù
biuret	双缩脲	shuāng suō niào
blood vessel	血管	xuè guǎn
Bohr shift	波尔位移	bō ěr wèi yí
botanic garden	植物园	zhí wù yuán
bottleneck effect	瓶颈效应	píng jǐng xiào yìng
