english	简体中文	pinyin
absenteeism	缺勤	quē qín
acid test ratio	速动比率	sù dòng bǐ lǜ
added value	增值	zēng zhí
advertising	广告	guǎng gào
application form	申请表	shēn qǐng biǎo
assets	资产	zī chǎn
autocratic	专制型	zhuān zhì xíng
automation	自动化	zì dòng huà
autonomy	自主权	zì zhǔ quán
average cost	平均成本	píng jūn chéng běn
batch production	批量生产	pī liàng shēng chǎn
bonus	奖金	jiǎng jīn
boom	繁荣	fán róng
brand	品牌	pǐn pái
break-even	盈亏平衡	yíng kuī píng héng
break-even chart	盈亏平衡图	yíng kuī píng héng tú
break-even point	盈亏平衡点	yíng kuī píng héng diǎn
business	企业	qǐ yè
business cycle	经济周期	jīng jì zhōu qī
business plan	商业计划书	shāng yè jì huà shū
capital	资本	zī běn
capital employed	所用资本	suǒ yòng zī běn
cash	现金	xiàn jīn
cash-flow	现金流	xiàn jīn liú
cash-flow forecast	现金流预测	xiàn jīn liú yù cè
chain of command	指挥链	zhǐ huī liàn
channel of distribution	分销渠道	fēn xiāo qú dào
closing balance	期末余额	qī mò yú é
commanding	指挥	zhǐ huī
commission	佣金	yòng jīn
communication	沟通	gōu tōng
communication barrier	沟通障碍	gōu tōng zhàng ài
competition	竞争	jìng zhēng
competitive pricing	竞争定价	jìng zhēng dìng jià
conflict	冲突	chōng tū
conglomerate integration	混合一体化	hùn hé yī tǐ huà
consumer protection	消费者保护	xiāo fèi zhě bǎo hù
contract of employment	雇佣合同	gù yōng hé tóng
contribution	贡献	gòng xiàn
controlling	控制	kòng zhì
coordinating	协调	xié tiáo
cost	成本	chéng běn
cost of sales	销售成本	xiāo shòu chéng běn
cost-plus pricing	成本加成定价	chéng běn jiā chéng dìng jià
crowdfunding	众筹	zhòng chóu
current assets	流动资产	liú dòng zī chǎn
current liabilities	流动负债	liú dòng fù zhài
current ratio	流动比率	liú dòng bǐ lǜ
customer loyalty	顾客忠诚度	gù kè zhōng chéng dù
customer service	顾客服务	gù kè fú wù
customers	顾客	gù kè
CV	简历	jiǎn lì
data	数据	shù jù
de-industrialisation	去工业化	qù gōng yè huà
debentures	债券	zhài quàn
debts	债务	zhài wù
delayering	扁平化	biǎn píng huà
democratic	民主型	mín zhǔ xíng
developed economy	发达经济体	fā dá jīng jì tǐ
developing economy	发展中经济体	fā zhǎn zhōng jīng jì tǐ
direct selling	直销	zhí xiāo
diseconomies of scale	规模不经济	guī mó bù jīng jì
dismissal	解雇	jiě gù
