english	简体中文	pinyin
element	元素	yuán sù
atom	原子	yuán zi
compound	化合物	huà hé wù
mixture	混合物	hùn hé wù
nucleus	原子核	yuán zǐ hé
electrons	电子	diàn zi
shells	电子层	diàn zi céng
protons	质子	zhì zi
neutrons	中子	zhōng zi
charge	电荷	diàn hè
proton number	质子数	zhì zi shù
atomic number	原子序数	yuán zi xù shù
mass number	质量数	zhì liàng shù
nucleon number	核子数	hé zǐ shù
electronic configuration	电子排布	diàn zi pái bù
Periodic Table	周期表	zhōu qī biǎo
Group	族	zú
Period	周期	zhōu qī
noble gases	稀有气体	xī yǒu qì tǐ
isotopes	同位素	tóng wèi sù
relative atomic mass	相对原子质量	xiāng duì yuán zi zhì liàng
abundance	丰度	fēng dù
ion	离子	lí zi
cation	阳离子	yáng lí zi
anion	阴离子	yīn lí zi
ionic bond	离子键	lí zi jiàn
electrostatic attraction	静电引力	jìng diàn yǐn lì
metal	金属	jīn shǔ
non-metal	非金属	fēi jīn shǔ
ionic compound	离子化合物	lí zi huà hé wù
molecules	分子	fèn zǐ
lattice	晶格	jīng gé
alternating	交替	jiāo tì
melting point	熔点	róng diǎn
boiling point	沸点	fèi diǎn
electrical conductivity	导电性	dǎo diàn xìng
molten	熔融	róng róng
aqueous	水溶液	shuǐ róng yè
covalent bond	共价键	gòng jià jiàn
intermolecular forces	分子间作用力	fèn zǐ jiàn zuò yòng lì
giant covalent structure	巨型共价结构	jù xíng gòng jià jié gòu
diamond	金刚石	jīn gāng shí
cutting tools	切割工具	qiē gē gōng jù
graphite	石墨	shí mò
layers	层	céng
lubricant	润滑剂	rùn huá jì
delocalised electrons	离域电子	lí yù diàn zi
electrode	电极	diàn jí
silicon(IV) oxide	二氧化硅	èr yǎng huà guī
metallic bonding	金属键	jīn shǔ jiàn
malleability	展性	zhǎn xìng
ductility	延性	yán xìng
