english	简体中文	pinyin
absorption	吸收	xī shōu
acid	酸	suān
acid dissociation constant	酸解离常数	suān jiě lí cháng shù
acid rain	酸雨	suān yǔ
acidity	酸性	suān xìng
activation energy	活化能	huó huà néng
acyl chloride	酰氯	xiān lǜ
addition	加成	jiā chéng
addition polymerisation	加成聚合	jiā chéng jù hé
addition–elimination	加成消去	jiā chéng xiāo qù
adsorption	吸附	xī fù
alcohol	醇	chún
aldehyde	醛	quán
alkane	烷烃	wán tīng
alkene	烯烃	xī tīng
alkylbenzene	烷基苯	wán jī běn
amide	酰胺	xiān àn
amine	胺	àn
amino acid	氨基酸	ān jī suān
ammonia	氨	ān
ammonium ion	铵离子	ǎn lí zi
amphoteric	两性	liǎng xìng
anhydrous	无水的	wú shuǐ de
anion	阴离子	yīn lí zi
anode	阳极	yáng jí
aqueous	水溶液	shuǐ róng yè
arene	芳烃	fāng tīng
aromatic	芳香	fāng xiāng
atom	原子	yuán zi
atomic number	原子序数	yuán zi xù shù
atomic radius	原子半径	yuán zi bàn jìng
Avogadro constant	阿伏伽德罗常量	ā fú gā dé luó cháng liàng
azo compound	偶氮化合物	ǒu dàn huà hé wù
bacteria	细菌	xì jūn
balanced	配平	pèi píng
base	碱	jiǎn
baseline	基线	jī xiàn
basicity	碱性	jiǎn xìng
bent	角形	jiǎo xíng
benzene	苯	běn
benzene ring	苯环	běn huán
benzoic acid	苯甲酸	běn jiǎ suān
bidentate	双齿	shuāng chǐ
biodegradable	可生物降解	kě shēng wù jiàng jiě
boiling point	沸点	fèi diǎn
Boltzmann distribution	玻尔兹曼分布	bō ěr zī màn fēn bù
bond angle	键角	jiàn jiǎo
bond energy	键能	jiàn néng
bond length	键长	jiàn zhǎng
bonding pair	成键电子对	chéng jiàn diàn zi duì
Born–Haber cycle	玻恩哈伯循环	bō ēn hā bó xún huán
bromination	溴化	xiù huà
bromine water	溴水	xiù shuǐ
buffer solution	缓冲溶液	huǎn chōng róng yè
by-product	副产物	fù chǎn wù
carbocation	碳正离子	tàn zhèng lí zi
carbon monoxide	一氧化碳	yī yǎng huà tàn
carbonate	碳酸盐	tàn suān yán
carbonyl	羰基	tāng jī
carbonyl compound	羰基化合物	tāng jī huà hé wù
carboxylic acid	羧酸	suō suān
catalysis	催化作用	cuī huà zuò yòng
