english	简体中文	pinyin
absolute poverty	绝对贫困	jué duì pín kùn
advertising	广告	guǎng gào
ageing population	人口老龄化	rén kǒu lǎo líng huà
allocate	配置	pèi zhì
alternative	替代选择	tì dài xuǎn zé
appreciation	升值	shēng zhí
average cost	平均成本	píng jūn chéng běn
average revenue	平均收益	píng jūn shōu yì
balance of payments	国际收支	guó jì shōu zhī
barriers to entry	进入壁垒	jìn rù bì lěi
barter	物物交换	wù wù jiāo huàn
benefits	福利	fú lì
birth rate	出生率	chū shēng lǜ
boom	繁荣	fán róng
borrowing	借贷	jiè dài
budget	预算	yù suàn
budget deficit	预算赤字	yù suàn chì zì
budget surplus	预算盈余	yù suàn yíng yú
business cycle	经济周期	jīng jì zhōu qī
business failure	企业倒闭	qǐ yè dǎo bì
capital	资本	zī běn
capital-intensive	资本密集型	zī běn mì jí xíng
central bank	中央银行	zhōng yāng yín háng
ceteris paribus	其他条件不变	qí tā tiáo jiàn bù biàn
claimant count	失业救济申领人数	shī yè jiù jì shēn lǐng rén shù
commercial banks	商业银行	shāng yè yín háng
compete	竞争	jìng zhēng
competition	竞争	jìng zhēng
competitiveness	竞争力	jìng zhēng lì
complements	互补品	hù bǔ pǐn
confidence	信心	xìn xīn
conflict	冲突	chōng tū
conglomerate merger	混合合并	hùn hé hé bìng
Consumer Prices Index	消费者价格指数	xiāo fèi zhě jià gé zhǐ shù
consumers	消费者	xiāo fèi zhě
cost	成本	chéng běn
cost-push	成本推动	chéng běn tuī dòng
costs of production	生产成本	shēng chǎn chéng běn
currency	货币	huò bì
current account	经常账户	jīng cháng zhàng hù
current account deficit	逆差	nì chà
current account surplus	顺差	shùn chā
cyclical unemployment	周期性失业	zhōu qī xìng shī yè
death rate	死亡率	sǐ wáng lǜ
debt	债务	zhài wù
deflation	通货紧缩	tōng huò jǐn suō
demand	需求	xū qiú
demand curve	需求曲线	xū qiú qū xiàn
demand-pull	需求拉动	xū qiú lā dòng
demerit goods	有害物品	yǒu hài wù pǐn
dependent	依赖	yī lài
depreciation	贬值	biǎn zhí
deregulation	放松管制	fàng sōng guǎn zhì
determinants	决定因素	jué dìng yīn sù
developed countries	发达国家	fā dá guó jiā
developing countries	发展中国家	fā zhǎn zhōng guó jiā
direct provision	直接提供	zhí jiē tí gōng
direct relationship	正向关系	zhèng xiàng guān xì
direct tax	直接税	zhí jiē shuì
discrimination	歧视	qí shì
diseconomies of scale	规模不经济	guī mó bù jīng jì
disequilibrium	非均衡	fēi jūn héng
divisible	可分割的	kě fēn gē de
division of labour	劳动分工	láo dòng fēn gōng
domestic	国内的	guó nèi de
dumping	倾销	qīng xiāo
durable	耐用的	nài yòng de
economic decline	经济衰退	jīng jì shuāi tuì
economic development	经济发展	jīng jì fā zhǎn
economic goods	经济物品	jīng jì wù pǐn
economic growth	经济增长	jīng jì zēng zhǎng
economic problem	经济问题	jīng jì wèn tí
economies of scale	规模经济	guī mó jīng jì
elastic	富有弹性	fù yǒu tán xìng
embargo	禁运	jìn yùn
emigration	迁出	qiān chū
enterprise	企业家才能	qǐ yè jiā cái néng
entrepreneur	企业家	qǐ yè jiā
equilibrium	均衡	jūn héng
excess demand	超额需求	chāo é xū qiú
excess supply	超额供给	chāo é gōng jǐ
exchange rate	汇率	huì lǜ
exports	出口	chū kǒu
external benefit	外部效益	wài bù xiào yì
external cost	外部成本	wài bù chéng běn
factors of production	生产要素	shēng chǎn yào sù
finite	有限的	yǒu xiàn de
firms	企业	qǐ yè
fiscal policy	财政政策	cái zhèng zhèng cè
fixed costs	固定成本	gù dìng chéng běn
floating exchange rate	浮动汇率	fú dòng huì lǜ
free goods	免费物品	miǎn fèi wù pǐn
free trade	自由贸易	zì yóu mào yì
frictional unemployment	摩擦性失业	mó cā xìng shī yè
full employment	充分就业	chōng fèn jiù yè
globalisation	全球化	quán qiú huà
good	物品	wù pǐn
goods	物品	wù pǐn
government spending	政府支出	zhèng fǔ zhī chū
governments	政府	zhèng fǔ
gross domestic product	国内生产总值	guó nèi shēng chǎn zǒng zhí
growth	增长	zēng zhǎng
horizontal merger	横向合并	héng xiàng hé bìng
host country	东道国	dōng dào guó
household	家庭	jiā tíng
Human Development Index	人类发展指数	rén lèi fā zhǎn zhǐ shù
immigration	迁入	qiān rù
imports	进口	jìn kǒu
incentive	激励	jī lì
incentives	激励	jī lì
income	收入	shōu rù
income distribution	收入分配	shōu rù fēn pèi
indicator	指标	zhǐ biāo
indirect tax	间接税	jiàn jiē shuì
inefficient	低效率	dī xiào lǜ
inelastic	缺乏弹性	quē fá tán xìng
infant industry	幼稚产业	yòu zhì chǎn yè
inflation	通货膨胀	tōng huò péng zhàng
interest	利息	lì xī
interest rate	利率	lì lǜ
intervention	干预	gān yù
inverse relationship	反向关系	fǎn xiàng guān xì
invest	投资	tóu zī
labour	劳动	láo dòng
labour force	劳动力	láo dòng lì
labour force survey	劳动力调查	láo dòng lì diào chá
labour-intensive	劳动密集型	láo dòng mì jí xíng
land	土地	tǔ dì
law of demand	需求定律	xū qiú dìng lǜ
law of supply	供给定律	gōng jǐ dìng lǜ
life expectancy	预期寿命	yù qī shòu mìng
living standards	生活水平	shēng huó shuǐ píng
macroeconomics	宏观经济学	hóng guān jīng jì xué
macroeconomy	宏观经济	hóng guān jīng jì
market	市场	shì chǎng
market economy	市场经济	shì chǎng jīng jì
market failure	市场失灵	shì chǎng shī líng
maximum price	最高价格	zuì gāo jià gé
means of deferred payment	延期支付手段	yán qī zhī fù shǒu duàn
medium of exchange	交换媒介	jiāo huàn méi jiè
merger	合并	hé bìng
merit goods	有益物品	yǒu yì wù pǐn
microeconomics	微观经济学	wēi guān jīng jì xué
migration	移民	yí mín
minimum price	最低价格	zuì dī jià gé
minimum wage	最低工资	zuì dī gōng zī
mixed economy	混合经济	hùn hé jīng jì
mobility	流动性	liú dòng xìng
monetary policy	货币政策	huò bì zhèng cè
money	货币	huò bì
money supply	货币供给	huò bì gōng jǐ
monopoly	垄断	lǒng duàn
multinational company	跨国公司	kuà guó gōng sī
net migration	净移民	jìng yí mín
non-renewable resources	不可再生资源	bù kě zài shēng zī yuán
objectives	目标	mù biāo
occupation	职业	zhí yè
opportunity cost	机会成本	jī huì chéng běn
per head	人均	rén jūn
planned economy	计划经济	jì huà jīng jì
population	人口	rén kǒu
population pyramid	人口金字塔	rén kǒu jīn zì tǎ
population structure	人口结构	rén kǒu jié gòu
portable	便于携带的	biàn yú xié dài de
poverty	贫困	pín kùn
price elasticity of demand	需求价格弹性	xū qiú jià gé tán xìng
price elasticity of supply	供给价格弹性	gōng jǐ jià gé tán xìng
price mechanism	价格机制	jià gé jī zhì
price stability	价格稳定	jià gé wěn dìng
primary income	初次收入	chū cì shōu rù
private benefit	私人效益	sī rén xiào yì
private cost	私人成本	sī rén chéng běn
private sector	私营部门	sī yíng bù mén
privatisation	私有化	sī yǒu huà
producers	生产者	shēng chǎn zhě
production possibility curve	生产可能性曲线	shēng chǎn kě néng xìng qū xiàn
productivity	生产率	shēng chǎn lǜ
profit	利润	lì rùn
progressive tax	累进税	lèi jìn shuì
proportional tax	比例税	bǐ lì shuì
public goods	公共物品	gōng gòng wù pǐn
public sector	公共部门	gōng gòng bù mén
purchasing power	购买力	gòu mǎi lì
qualifications	资格	zī gé
quantity demanded	需求量	xū qiú liàng
quantity supplied	供给量	gōng jǐ liàng
quota	配额	pèi é
rationing	配给	pèi jǐ
real	实际	shí jì
recession	衰退	shuāi tuì
recovery	复苏	fù sū
redistribute	再分配	zài fēn pèi
redistribution of income	收入再分配	shōu rù zài fēn pèi
regressive tax	累退税	lèi tuì shuì
regulation	监管	jiān guǎn
relative poverty	相对贫困	xiāng duì pín kùn
rent	地租	dì zū
resources	资源	zī yuán
revenue	收益	shōu yì
reward	报酬	bào chóu
saving	储蓄	chǔ xù
scarce	稀缺	xī quē
scarcity	稀缺性	xī quē xìng
secondary income	二次收入	èr cì shōu rù
services	服务	fú wù
shift	移动	yí dòng
shortage	短缺	duǎn quē
signalling	信号	xìn hào
skill	技能	jì néng
slump	萧条	xiāo tiáo
social benefit	社会效益	shè huì xiào yì
social cost	社会成本	shè huì chéng běn
spare capacity	闲置产能	xián zhì chǎn néng
specialisation	专业化	zhuān yè huà
stocks	库存	kù cún
store of value	价值储藏	jià zhí chǔ cáng
structural unemployment	结构性失业	jié gòu xìng shī yè
subsidy	补贴	bǔ tiē
subsistence farming	自给农业	zì jǐ nóng yè
substitutes	替代品	tì dài pǐn
supply	供给	gōng jǐ
supply curve	供给曲线	gōng jǐ qū xiàn
supply-side policy	供给侧政策	gōng jǐ cè zhèng cè
surplus	过剩	guò shèng
survival	生存	shēng cún
tariff	关税	guān shuì
tastes	偏好	piān hǎo
tax	税收	shuì shōu
taxation	税收	shuì shōu
technology	技术	jì shù
total cost	总成本	zǒng chéng běn
total expenditure	总支出	zǒng zhī chū
total revenue	总收益	zǒng shōu yì
trade	贸易	mào yì
trade in goods	货物贸易	huò wù mào yì
trade in services	服务贸易	fú wù mào yì
trade protection	贸易保护	mào yì bǎo hù
trade unions	工会	gōng huì
trade-off	取舍	qǔ shě
unemployment	失业	shī yè
unemployment benefit	失业救济金	shī yè jiù jì jīn
unit elastic	单位弹性	dān wèi tán xìng
unit of account	记账单位	jì zhàng dān wèi
variable costs	可变成本	kě biàn chéng běn
vertical merger	纵向合并	zòng xiàng hé bìng
wage	工资	gōng zī
wages	工资	gōng zī
wants	欲望	yù wàng
weight	权重	quán zhòng
workers	工人	gōng rén
