english	简体中文	pinyin
immune system	免疫系统	miǎn yì xì tǒng
pathogen	病原体	bìng yuán tǐ
phagocyte	吞噬细胞	tūn shì xì bāo
macrophage	巨噬细胞	jù shì xì bāo
neutrophil	中性粒细胞	zhōng xìng lì xì bāo
phagocytosis	吞噬作用	tūn shì zuò yòng
antigen	抗原	kàng yuán
self antigen	自身抗原	zì shēn kàng yuán
non-self antigen	非自身抗原	fēi zì shēn kàng yuán
immune response	免疫反应	miǎn yì fǎn yìng
T-helper cell	辅助性T细胞	fǔ zhù xìng T xì bāo
lymphocyte	淋巴细胞	lín bā xì bāo
plasma cell	浆细胞	jiāng xì bāo
antibody	抗体	kàng tǐ
memory cell	记忆细胞	jì yì xì bāo
T-killer cell	杀伤性T细胞	shā shāng xìng T xì bāo
antigen-binding site	抗原结合位点	kàng yuán jié hé wèi diǎn
variable region	可变区	kě biàn qū
monoclonal antibody	单克隆抗体	dān kè lóng kàng tǐ
hybridoma	杂交瘤	zá jiāo liú
diagnosis	诊断	zhěn duàn
active immunity	主动免疫	zhǔ dòng miǎn yì
passive immunity	被动免疫	bèi dòng miǎn yì
natural immunity	天然免疫	tiān rán miǎn yì
artificial immunity	人工免疫	rén gōng miǎn yì
vaccine	疫苗	yì miáo
vaccination	疫苗接种	yì miáo jiē zhǒng
herd immunity	群体免疫	qún tǐ miǎn yì
