english	简体中文	pinyin
3D printer	3D打印机	3D dǎ yìn jī
7-segment display	七段显示器	qī duàn xiǎn shì qì
abnormal data	异常数据	yì cháng shù jù
absorption	吸收律	xī shōu lǜ
abstract data type	抽象数据类型	chōu xiàng shù jù lèi xíng
abstract syntax tree	抽象语法树	chōu xiàng yǔ fǎ shù
abstraction	抽象	chōu xiàng
accelerometer	加速度计	jiā sù dù jì
acceptance testing	验收测试	yàn shōu cè shì
access control	访问控制	fǎng wèn kòng zhì
Accumulator	累加器	lěi jiā qì
activation function	激活函数	jī huó hán shù
actuator	执行器	zhí xíng qì
adaptive maintenance	适应性维护	shì yìng xìng wéi hù
address bus	地址总线	dì zhǐ zǒng xiàn
addressing mode	寻址方式	xún zhǐ fāng shì
adware	广告软件	guǎng gào ruǎn jiàn
agent	智能体	zhì néng tǐ
aggregate functions	聚合函数	jù hé hán shù
agile	敏捷	mǐn jié
algorithm	算法	suàn fǎ
alpha testing	α测试	α cè shì
ALU	算术逻辑单元	suàn shù luó jí dān yuán
amplitude	振幅	zhèn fú
analogue-to-digital converter	模数转换器	mó shù zhuǎn huàn qì
antivirus	杀毒软件	shā dú ruǎn jiàn
application layer	应用层	yìng yòng céng
arguments	实参	shí cān
arithmetic and logic unit	算术逻辑单元	suàn shù luó jí dān yuán
array	数组	shù zǔ
artificial intelligence	人工智能	rén gōng zhì néng
artificial neuron	人工神经元	rén gōng shén jīng yuán
assembler	汇编器	huì biān qì
assembly language	汇编语言	huì biān yǔ yán
assignment	赋值	fù zhí
asymmetric encryption	非对称加密	fēi duì chèn jiā mì
atomic	原子	yuán zi
attributes	属性	shǔ xìng
audit logs	审计日志	shěn jì rì zhì
authentication	身份验证	shēn fèn yàn zhèng
authorisation	授权	shòu quán
auto-complete	自动补全	zì dòng bǔ quán
autonomous vehicles	自动驾驶汽车	zì dòng jià shǐ qì chē
backpropagation	反向传播	fǎn xiàng chuán bō
backup	备份	bèi fèn
Backus-Naur Form	巴科斯-诺尔范式	bā kē sī - nuò ěr fàn shì
bandwidth	带宽	dài kuān
base case	基本情形	jī běn qíng xíng
BCD	二进码十进数	èr jìn mǎ shí jìn shù
beta testing	β测试	β cè shì
bias	偏见	piān jiàn
bias term	偏置项	piān zhì xiàng
Big-O notation	大O表示法	dà O biǎo shì fǎ
binary	二进制	èr jìn zhì
binary search	二分查找	èr fēn chá zhǎo
binary tree	二叉树	èr chā shù
bistable	双稳态	shuāng wěn tài
bit	位	wèi
bit depth	位深度	wèi shēn dù
bit streaming	流式传输	liú shì chuán shū
bitmap	位图	wèi tú
black-box testing	黑盒测试	hēi hé cè shì
blocked	阻塞	zǔ sè
Boolean	布尔	bù ěr
Boolean algebra	布尔代数	bù ěr dài shù
boundary data	边界数据	biān jiè shù jù
bounds	边界	biān jiè
breadth-first search	广度优先搜索	guǎng dù yōu xiān sōu suǒ
breakpoints	断点	duàn diǎn
bubble sort	冒泡排序	mào pào pái xù
buffer	缓冲	huǎn chōng
bus	总线	zǒng xiàn
buses	总线	zǒng xiàn
byte	字节	zì jié
bytecode	字节码	zì jié mǎ
cache	高速缓存	gāo sù huǎn cún
call stack	调用栈	diào yòng zhàn
candidate key	候选键	hòu xuǎn jiàn
capacitive	电容式	diàn róng shì
capacitor	电容器	diàn róng qì
cardinality	基数	jī shù
carry	进位	jìn wèi
Certificate Authority	证书颁发机构	zhèng shū bān fā jī gòu
chaining	链接法	liàn jiē fǎ
character set	字符集	zì fú jí
check digit	校验位	jiào yàn wèi
checksum	校验和	jiào yàn hé
ciphertext	密文	mì wén
circuit switching	电路交换	diàn lù jiāo huàn
circular array	循环数组	xún huán shù zǔ
